recipe_id,ingredient_id,ingredient_quantity,unit_id
1,1,1,7
1,2,6,8
1,3,45,1
1,4,2.5,6
1,5,2,6
1,6,2.5,6
1,7,3,6
1,8,90,3
1,9,800,1
1,10,2,10
1,11,8,9
1,12,3,7
1,13,0.1,5
1,14,0.1,5
2,15,4,9
2,16,15,1
2,17,10,1
2,8,60,3
2,18,250,1
2,19,90,1
2,2,3,8
2,20,3.5,6
2,3,10,1
2,13,0.1,5
2,14,0.1,5
3,21,400,1
3,22,50,1
3,23,800,3
3,24,50,1
3,25,150,1
3,13,0.1,5
3,14,0.1,5
3,26,40,1
3,27,90,1
3,28,50,1
3,8,45,3
3,29,1,6
3,2,1,8
4,30,800,1
4,2,12,8
4,31,220,1
4,3,25,1
4,32,20,1
4,33,4,7
4,8,100,3
4,21,300,1
4,23,600,3
4,13,0.1,5
4,14,0.1,5
5,34,1,2
5,8,45,3
5,35,2,5
5,36,160,1
5,37,5,1
5,38,5,1
5,14,0.1,5
5,1,0.5,7
5,20,2,6
5,35,1/2,5
5,39,4,6
5,40,15,1
5,2,1,8
5,41,2,7
6,42,2,7
6,43,500,1
6,44,400,1
6,33,1,7
6,8,200,3
6,45,250,1
6,46,5,7
6,47,1,6
6,48,1,5
7,49,140,1
7,50,150,1
7,47,1,6
7,51,1,5
7,46,1,7
7,8,160,3
7,48,1,5
7,52,180,3
7,53,80,3
7,54,375,1
8,55,15,1
8,2,4,8
8,56,2,7
8,57,2,7
8,30,200,1
8,58,4,7
8,3,50,1
8,59,1,7
8,60,1,6
8,6,1/2,6
8,61,3,6
9,62,2,6
9,6,2,6
9,63,1.3,2
9,64,500,3
9,65,2,6
9,66,400,1
9,67,20,1
9,68,10,1
9,69,5,1
9,38,5,1
9,70,5,1
9,13,0.1,5
9,14,0.1,5
10,71,4,7
10,8,45,3
10,2,2,8
10,72,3,5
10,73,3,5
10,74,0.1,5
10,14,0.1,5
10,40,25,1
11,75,25,1
11,23,275,3
11,67,75,1
11,76,110,1
11,9,2,7
11,77,2,7
11,1,1,7
11,78,1,7
11,79,2,7
11,32,10,1
11,2,2,8
11,80,2,4
11,81,225,1
11,28,110,1
11,82,75,3
11,83,75,3
11,20,10,3
